rank,module,fan_in,entrypoints_reaching
1,server/models/User.ts,15,server/api/analytics/index.ts; server/api/chatbot/index.post.ts; server/api/events/[id].delete.ts; server/api/events/[id].get.ts; server/api/events/[id].put.ts; server/api/events/[id]/attend.post.ts; server/api/events/index.post.ts; server/api/events/index.ts; server/api/public/v1/events/[id].delete.ts; server/api/public/v1/events/[id].patch.ts; server/api/public/v1/events/index.get.ts; server/api/public/v1/events/index.post.ts; server/api/users/[id].ts; server/api/users/index.ts; server/api/users/me/events.ts
2,server/models/Event.ts,13,server/api/analytics/index.ts; server/api/chatbot/index.post.ts; server/api/events/[id].delete.ts; server/api/events/[id].get.ts; server/api/events/[id].put.ts; server/api/events/[id]/attend.post.ts; server/api/events/index.post.ts; server/api/events/index.ts; server/api/public/v1/events/[id].delete.ts; server/api/public/v1/events/[id].patch.ts; server/api/public/v1/events/index.get.ts; server/api/public/v1/events/index.post.ts; server/api/users/me/events.ts
3,server/utils/auth.ts,5,server/api/events/[id].delete.ts; server/api/events/[id].put.ts; server/api/events/[id]/attend.post.ts; server/api/events/index.post.ts; server/api/upload/s3.post.ts
4,server/validation/eventSchemas.ts,3,server/api/events/[id].put.ts; server/api/events/index.post.ts; server/api/public/v1/events/index.post.ts
5,utils/categoryHierarchy.ts,2,server/api/chatbot/index.post.ts; server/api/events/index.ts
6,server/api/analytics/index.ts,1,server/api/analytics/index.ts
7,server/api/auth/login.ts,1,server/api/auth/login.ts
8,server/api/auth/logout.ts,1,server/api/auth/logout.ts
9,server/api/auth/me.ts,1,server/api/auth/me.ts
10,server/api/auth/register.ts,1,server/api/auth/register.ts
11,server/api/chatbot/index.post.ts,1,server/api/chatbot/index.post.ts
12,server/api/events/[id].delete.ts,1,server/api/events/[id].delete.ts
13,server/api/events/[id].get.ts,1,server/api/events/[id].get.ts
14,server/api/events/[id].put.ts,1,server/api/events/[id].put.ts
15,server/api/events/[id]/attend.post.ts,1,server/api/events/[id]/attend.post.ts
16,server/api/events/index.post.ts,1,server/api/events/index.post.ts
17,server/api/events/index.ts,1,server/api/events/index.ts
18,server/api/geocode.ts,1,server/api/geocode.ts
19,server/api/health.ts,1,server/api/health.ts
20,server/api/public/v1/events/[id].delete.ts,1,server/api/public/v1/events/[id].delete.ts
21,server/api/public/v1/events/[id].patch.ts,1,server/api/public/v1/events/[id].patch.ts
22,server/api/public/v1/events/index.get.ts,1,server/api/public/v1/events/index.get.ts
23,server/api/public/v1/events/index.post.ts,1,server/api/public/v1/events/index.post.ts
24,server/api/public/v1/validate-key.get.ts,1,server/api/public/v1/validate-key.get.ts
25,server/api/upload/s3.post.ts,1,server/api/upload/s3.post.ts
26,server/api/users/[id].ts,1,server/api/users/[id].ts
27,server/api/users/index.ts,1,server/api/users/index.ts
28,server/api/users/me/events.ts,1,server/api/users/me/events.ts
29,server/services/analyticsService.ts,1,server/api/analytics/index.ts
